source_file,problem,path,nvars,nconstraints,N,candidate_state_space_size,solver,first_feasible_status,time_to_first_feasible_sec,first_feasible_objective,first_feasible_solution,wall_sec,peak_memory_mb,error
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_0001.json,7,2,8,2097152,qaoa,feasible,58.869321170961484,150892000.0,"{""B100166(7)"": 0, ""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 1}",60.738250420894474,1943.93359375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_0002.json,7,2,8,2097152,qaoa,feasible,56.733113227179274,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",58.49714313005097,1943.84375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_0003.json,7,2,8,2097152,qaoa,feasible,52.018504556966946,145944000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 1}",53.40723978402093,1889.24609375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_0004.json,7,2,8,2097152,qaoa,feasible,59.10257531283423,145944000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 1, ""B101043(7)"": 0}",60.73676560213789,1944.83203125,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_0005.json,7,2,8,2097152,qaoa,feasible,50.16988468798809,151847000.0,"{""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 0, ""B101058(7)"": 1}",51.367752752033994,1943.21875,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_c733_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_c733_0002.json,7,3,8,2097152,qaoa,feasible,40.18827116605826,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",41.137225622078404,1755.7734375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c722_c726_c733_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c722_c726_c733_0003.json,7,3,8,2097152,qaoa,feasible,33.39094863599166,134333000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0}",33.87983500608243,1714.21875,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_0002.json,7,2,8,2097152,qaoa,feasible,33.2921619550325,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",33.65025055012666,1923.65625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_0003.json,7,2,8,2097152,qaoa,feasible,33.62531637912616,134333000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0}",34.006077063968405,1945.1953125,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_0004.json,7,2,8,2097152,qaoa,feasible,32.75369801209308,290831000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 1, ""B101043(7)"": 1}",33.09427605988458,1901.66796875,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_0005.json,7,2,8,2097152,qaoa,feasible,32.87757487897761,296734000.0,"{""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1, ""B101058(7)"": 1}",33.22261410509236,1947.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_c745_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_c745_0002.json,7,3,8,2097152,qaoa,feasible,32.398670471971855,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",32.74950386304408,1743.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_c745_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_c745_0003.json,7,3,8,2097152,qaoa,feasible,32.52881364710629,134333000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0}",32.901842065155506,1753.77734375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_c745_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_c745_0004.json,7,3,8,2097152,qaoa,feasible,32.920156062114984,134333000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0, ""B101043(7)"": 0}",33.25170215894468,1755.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c726_c733_c745_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c726_c733_c745_0005.json,7,3,8,2097152,qaoa,feasible,32.35745920613408,296734000.0,"{""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1, ""B101058(7)"": 1}",32.722152799833566,1729.78125,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_0001.json,7,2,8,2097152,qaoa,feasible,32.73681627493352,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0}",33.08631188492291,1877.78125,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_0002.json,7,2,8,2097152,qaoa,feasible,33.250242442125455,144887000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1}",33.64432401396334,1921.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_0003.json,7,2,8,2097152,qaoa,feasible,32.61790754389949,144887000.0,"{""B100602(7)"": 0, ""B100608(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 1, ""B101479(7)"": 0}",32.96655874303542,1947.65234375,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_0004.json,7,2,8,2097152,qaoa,feasible,33.10644975793548,134333000.0,"{""B100608(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 0, ""B101037(7)"": 0, ""B101043(7)"": 0, ""B101479(7)"": 0, ""B101485(7)"": 1}",33.47338487813249,1941.66796875,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_c747_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_c747_0002.json,7,3,8,2097152,qaoa,feasible,32.2556147291325,134333000.0,"{""B100594(7)"": 0, ""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1}",32.653622906887904,1721.66015625,
qaoa_feasible_benchmark_a100_20260721_162713_qaoa.csv,supportcase6_ds_qaoa_c733_c745_c747_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_07/supportcase6_ds_qaoa_c733_c745_c747_0003.json,7,3,8,2097152,qaoa,feasible,32.15824662800878,134333000.0,"{""B100600(7)"": 0, ""B100602(7)"": 0, ""B100608(7)"": 0, ""B100623(7)"": 0, ""B101029(7)"": 0, ""B101035(7)"": 1, ""B101037(7)"": 0}",32.49593059299514,1753.6640625,
