source_file,timestamp,pid,problem,problem_path,nvars,nconstraints,N,constraint_type,candidate_state_space_size,time_to_first_feasible_sec,init_elapsed_to_first_feasible_sec,first_feasible_objective,first_feasible_state,current_memory_mb,peak_memory_mb,argv
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:32+0800,10859,ex10_ds_qaoa_NOD26_NOD2X2_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex10_ds_qaoa_NOD26_NOD2X2_0001.json,4,2,8,linear,4096,0.0004665050655603409,0.0053343139588832855,1.0,"[0, 0, 1, 0]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex10_ds_qaoa_NOD26_NOD2X2_0001.json --worker-result /tmp/qaoa_feasible_0v_vxpms/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:34+0800,11038,ex9_ds_qaoa_NOD2X5_NOD37_0008,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex9_ds_qaoa_NOD2X5_NOD37_0008.json,4,2,8,linear,4096,0.0002617558930069208,0.004149502143263817,1.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex9_ds_qaoa_NOD2X5_NOD37_0008.json --worker-result /tmp/qaoa_feasible_d7zywqwt/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:36+0800,11220,ex9_ds_qaoa_NOD2X5_NOD37_0010,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex9_ds_qaoa_NOD2X5_NOD37_0010.json,4,2,8,linear,4096,0.0003441500011831522,0.004074268974363804,1.0,"[0, 0, 1, 0]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex9_ds_qaoa_NOD2X5_NOD37_0010.json --worker-result /tmp/qaoa_feasible_3nta925a/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:37+0800,11389,irp_ds_qaoa_R0002_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0001.json,4,1,8,linear,4096,0.00019435305148363113,0.00414534704759717,5861240000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0001.json --worker-result /tmp/qaoa_feasible_ihyd3lfp/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:39+0800,11558,irp_ds_qaoa_R0002_0002,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0002.json,4,1,8,linear,4096,0.00032173609361052513,0.005893769906833768,6049200000.0,"[0, 0, 0, 1]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0002.json --worker-result /tmp/qaoa_feasible_9tl6t9f3/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:41+0800,11727,irp_ds_qaoa_R0002_0003,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0003.json,4,1,8,linear,4096,0.0002738239709287882,0.00607894011773169,5946950000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0003.json --worker-result /tmp/qaoa_feasible_lzfg78ep/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:43+0800,11920,irp_ds_qaoa_R0002_0004,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0004.json,4,1,8,linear,4096,0.00025482592172920704,0.0056583338882774115,6340890000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0004.json --worker-result /tmp/qaoa_feasible_axn0k4yk/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:44+0800,12092,irp_ds_qaoa_R0002_0005,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0005.json,4,1,8,linear,4096,0.000197218032553792,0.004130163928493857,5861380000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0005.json --worker-result /tmp/qaoa_feasible_d8xkww2y/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:46+0800,12289,irp_ds_qaoa_R0002_0006,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0006.json,4,1,8,linear,4096,0.00030446983873844147,0.006237059133127332,5813350000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0006.json --worker-result /tmp/qaoa_feasible_o8jgsna8/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:48+0800,12470,irp_ds_qaoa_R0002_0007,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0007.json,4,1,8,linear,4096,0.00024328799918293953,0.005758404964581132,5989160000.0,"[0, 0, 0, 1]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/irp_ds_qaoa_R0002_0007.json --worker-result /tmp/qaoa_feasible_wz4tud68/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
