problem,path,n_int_vars,n_binary_vars,n_constraints,provider,max_iter,shots,status,wall_sec,peak_rss_mb,classical_optimal_objective,classical_optimal_solution,choco_best_feasible_objective,choco_best_feasible_solution,choco_best_feasible_probability,choco_raw_states,choco_raw_probabilities,iteration_count,circuit_depth,circuit_width,circuit_culled_depth,circuit_num_one_qubit_gates,error
assign1-5-8_ds_qaoa_R0002_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0002_0001.json,4,12,1,ddsim,5,128,ok,8.9440264320001,389.47265625,5.0,"{""C0033"": 0, ""C0038"": 1, ""C0053"": 1, ""row_slack_R0002"": 0}",0.0,"{""C0033"": 0, ""C0038"": 0, ""C0053"": 0, ""row_slack_R0002"": 5}",0.671875,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1], [0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]","[0.0703125, 0.671875, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0390625, 0.03125, 0.0078125, 0.0234375, 0.0390625, 0.03125, 0.046875]",6,136,26,60,129,
assign1-5-8_ds_qaoa_R0003_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0003_0001.json,4,12,1,ddsim,5,128,ok,14.242951940046623,476.59375,6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0003"": 1}",6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0003"": 1}",0.0078125,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]]","[0.0078125, 0.0234375, 0.0390625, 0.5625, 0.046875, 0.0078125, 0.0078125, 0.0234375, 0.0078125, 0.0390625, 0.0078125, 0.046875, 0.03125, 0.015625, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.03125, 0.0078125, 0.0078125, 0.0390625, 0.0078125, 0.0078125]",6,55,26,24,99,
